City,RAW not looking,RAW looking,RAW working,Total,Not Looking,Looking,Working
Rockford,172734,18366,142972,334072,51.70562035,5.49761728,42.79676237
Peoria,225650,15340,155791,396781,56.87016263,3.866112541,39.26372483
Dayton,419024,30816,359408,809248,51.77942979,3.807979754,44.41259045
Erie,141677,12418,114331,268426,52.78065463,4.626228458,42.59311691
Akron,345260,28497,327693,701450,49.22089957,4.062584646,46.71651579
South Bend,165214,13331,144524,323069,51.13892079,4.126363099,44.73471611
